"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"652189386059046912","652187883000983552","887742962","2015-10-08 18:30:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keroleenl True enough 😀. Things came together quickly, and time-based unlocking of Modules prevents URL errors before pages are available!","","","",""
"652188732213166080","","","2015-10-08 18:28:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","That's a wrap for now. Students already in #CanvasLMS now have one-tap access to weekly materials pages. https://t.co/agcvv8lvSf. Simple.","","","","https://canvas.sfu.ca/courses/22099"
"652181236325048320","","","2015-10-08 17:58:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","When a student uses mobile #CanvasLMS App things work out pretty well too. Modules can also be set as the Home page. http://t.co/jqymf80jCc","","","","http://twitter.com/hibbittsdesign/status/652181236325048320/photo/1,http://twitter.com/hibbittsdesign/status/652181236325048320/photo/1,http://twitter.com/hibbittsdesign/status/652181236325048320/photo/1"
"652178928228921344","","","2015-10-08 17:49:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#CanvasLMS Modules could be the way to go. Provides a pre-built infrastructure and linking to external content. http://t.co/KCV7vkAopm","","","","http://twitter.com/hibbittsdesign/status/652178928228921344/photo/1,http://twitter.com/hibbittsdesign/status/652178928228921344/photo/1"
"652177117468229632","","","2015-10-08 17:41:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","For a flipped-LMS approach to be viable, content duplication between systems must be avoided whenever possible. Make constraints your friend","","","",""
"652171409779634176","","","2015-10-08 17:19:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today's design challenge is well underway already: increase content access within the back-end LMS for students more #CanvasLMS centric.","","","",""
"652169000877625344","","","2015-10-08 17:09:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SIAT_SFU: Happy Graduation folks. So happy to see your faces today! Meet at the highland pub after! http://t.co/r1fxHhws7t","652168129770983424","45701038","2015-10-08 17:06:13 +0000","http://twitter.com/SIAT_SFU/status/652168129770983424/photo/1,http://twitter.com/SIAT_SFU/status/652168129770983424/photo/1"
"651950902991962112","","","2015-10-08 02:43:02 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JosephDickerson: User Stories and Scenarios in #UX Design http://t.co/nH6b0Sig21","651935643073949696","14407107","2015-10-08 01:42:24 +0000","http://designmodo.com/user-stories-ux/,http://designmodo.com/user-stories-ux/"
"651909801027375104","","","2015-10-07 23:59:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hope my @getgrav powered CMPT 363 course companion makes it in. http://t.co/I7fZ1cnbn3 https://t.co/B4dLmhsJN0","","","","http://cmpt-363-153.hibbittsdesign.com/,https://twitter.com/getgrav/status/651781744190853121"
"651899257180413952","","","2015-10-07 23:17:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @drupal: It's official -&gt; #Drupal8 has ZERO Critical Issues! &lt;- \o/ Amazing! https://t.co/XayzPUVBk2","649693453794811904","2166341","2015-10-01 21:12:44 +0000","http://twitter.com/drupal/status/649693453794811904/photo/1,http://twitter.com/drupal/status/649693453794811904/photo/1"
"651870206734667776","","","2015-10-07 21:22:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Presenting at #SFU #CanvasLMS DemoFest in November. Working title: Flipping the LMS: Benefits of Using an Alternative Front-end to Canvas.","","","",""
"651857155667046400","","","2015-10-07 20:30:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Positive student feedback rekindles my idea of course companion template based on @getgrav. Streamlined version of http://t.co/V4gRb8kA5t?","","","","http://cmpt-363-153.hibbittsdesign.com"
"651849411178266624","","","2015-10-07 19:59:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Actively exploring options to help address each of those course companion concerns; Non SFU-URL, page speed, and travel to/from #CanvasLMS","","","",""
"651845762058313728","","","2015-10-07 19:45:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Some student dislikes about CMPT 363 course companion:
Non SFU-URL, harder to remember
Slower page loads at times
Travel to/from #CanvasLMS","","","",""
"651839679474479104","651833503676542980","887742962","2015-10-07 19:21:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keroleenl ... ""It's nicely separated from Canvas such that I can see what's happening each week"" so I know I am making some progress 😀","","","",""
"651839280797515776","651833503676542980","887742962","2015-10-07 19:19:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keroleenl FYI, a few student likes of the design: ""It links everything I need on Canvas"" and...","","","",""
"651838805029203968","","","2015-10-07 19:17:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(2/2) Things students like the most about CMPT 363 course companion:
Mobile friendly
Clean/simple layout
Freq. updates
Additional resources","","","",""
"651838767045603328","","","2015-10-07 19:17:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(1/2) Things students like the most about CMPT 363 course companion:
Key materials are up front
Important reminders
Live instructor chat","","","",""
"651837537195978752","651833503676542980","887742962","2015-10-07 19:12:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keroleenl Indeed, designing for reduction of friction between systems is critical. There are situations where dissatisfaction can result.","","","",""
"651830073398444032","651827257426710528","887742962","2015-10-07 18:42:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keroleenl Biggest likes:
Key materials up-front
Import. reminders
Live instructor chat
Mobile friendly
Clean &amp; simple layout
Freq. updates","","","",""
"651829262647824384","651827257426710528","887742962","2015-10-07 18:39:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keroleenl There will always be a certain level of friction with the approach, but tweaks are possible to further reduce it I think.","","","",""
"651828884883673088","651827257426710528","887742962","2015-10-07 18:38:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keroleenl For example, I am exploring now using Canvas Modules to provide direct links within Canvas to weekly course companion materials.","","","",""
"651828553600753664","651827257426710528","887742962","2015-10-07 18:36:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keroleenl It really came down to having to interact with two different systems, which I have an idea or two to make a bit easier.","","","",""
"651813870609170432","","","2015-10-07 17:38:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(7/7) Based on these results a flipped-LMS approach shows a lot of promise for both my students (and myself), but work remains to be done.","","","",""
"651813832302596096","","","2015-10-07 17:38:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(6/7) 6% of CMPT-363 students were undecided with regards to the same overall course companion design being used for other courses.","","","",""
"651813783468310528","","","2015-10-07 17:38:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(5/7) 12.5% of CMPT-363 students indicated they would not want to see the same overall course companion design used for other courses.","","","",""
"651813741919506436","","","2015-10-07 17:38:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(4/7) 81.5% students in CMPT-363 survey indicated they would like to see the same overall course companion design used for other courses.","","","",""
"651813709669527552","","","2015-10-07 17:37:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(3/7) For my CMPT-363 course at #SFU, the Grav CMS is used as an improved &amp; open front-end for the #CanvasLMS http://t.co/I7fZ1cnbn3","","","","http://cmpt-363-153.hibbittsdesign.com/"
"651813675230081024","","","2015-10-07 17:37:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(2/7) Given this challenge, it's critical that students (&amp; instructors!) significantly benefit from what a flipped-LMS approach can provide.","","","",""
"651813641155538944","","","2015-10-07 17:37:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(1/7) The #1 flipped-LMS challenge? Friction between the systems, especially when students would naturally prefer one system for everything.","","","",""
"651796506618388481","","","2015-10-07 16:29:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Getting a series of tweets ready to share about what I think is the most important aspect of student feedback on http://t.co/I7fZ1cnbn3.","","","","http://cmpt-363-153.hibbittsdesign.com/"
"651790077048176640","","","2015-10-07 16:03:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @benwerd: If you need to integrate a community space into your intranet or LMS, I'd love to talk to you. #intranet #enterprise #edtech","651789155974811648","783092","2015-10-07 16:00:19 +0000",""
"651482976325275653","","","2015-10-06 19:43:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","To help set the mood, 60% of #SFU CMPT 363 students surveyed have used a mobile device (incl. tablets) to access the 363 course companion.","","","",""
"651482193726844928","","","2015-10-06 19:40:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Student surveys are nerve-wracking but always a great learning opportunity. Will soon share student feedback of http://t.co/I7fZ1cnbn3.","","","","http://cmpt-363-153.hibbittsdesign.com/"
"651476046580060160","","","2015-10-06 19:16:08 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mulegirl: Having trouble convincing someone to use research in their product design?

Read this: 

https://t.co/Q2RES4yg4j","651421428139462656","2391","2015-10-06 15:39:05 +0000","https://deardesignstudent.com/the-secret-cost-of-research-fbe95739afdd,https://deardesignstudent.com/the-secret-cost-of-research-fbe95739afdd"
"651437433590956032","","","2015-10-06 16:42:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#SFU CMPT 363 week 4 materials, and Oct 19th class preparations, are now available on the course companion site at http://t.co/I7fZ1cnbn3","","","","http://cmpt-363-153.hibbittsdesign.com/"
"651177702582452225","","","2015-10-05 23:30:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Good timing for my #SFU CMPT 363 class with our current user research assignment, which starts today. https://t.co/ozzlLBJLjl","","","","https://twitter.com/interacting/status/651019541720485888"
"651175725567840260","","","2015-10-05 23:22:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @drtonybates: See ""Reading between the lines: the ‘intangibles’ in quality online teaching and learning"" at: http://t.co/PI6LBamBne","650830803786567681","19812150","2015-10-05 00:32:10 +0000","http://wp.me/pi2SZ-2Cn,http://wp.me/pi2SZ-2Cn"
"651136661842104320","651135929273311232","14964767","2015-10-05 20:47:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@thurrott I hope I do not need to use Safari, like some other company I know. 😉","","","",""
"651108338441154560","651107627410153472","15414807","2015-10-05 18:54:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@johnmaeda @shiffman @ProcessingOrg @ben_fry @REAS Reminds me of having Don Norman on your Mac desktop back in the day 😀","","","",""
"651099969449914368","651099358218350593","27633854","2015-10-05 18:21:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JustStormy I'd say great description in 120 characters 😀 Thanks very much for sharing, and good luck!","","","",""
"651099739186827264","","","2015-10-05 18:20:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @JustStormy: @hibbittsdesign Mentioned our team ran across this idea and we could run in tandem w/the rollout of LMSx and innovate rathe…","651099207496019968","27633854","2015-10-05 18:18:42 +0000",""
